CIN,Company Name,Date of Incorporation,Authorized Capital,Paidup Capital,Company Status,ROC Code,Principal Business Activity (NIC)
L12345MH2020PTC01,TECHNO SOLUTIONS PVT LTD,10-01-2020,1000000,500000,Active,ROC-MUM,7210
U98765MH2018PLC02,GLOBAL TRADING INDIA LTD,15-05-2018,5000000,3000000,Active,ROC-MUM,4663
F00111MH2022PTC03,MUMBAI COFFEE ROASTERS,25-09-2022,500000,100000,Active,ROC-PUNE,5610
L99999MH2023PTC04,PUNE REALTY VENTURES,01-12-2023,10000000,5000000,Active,ROC-PUNE,6810
U44444MH2019PTC05,E-BIKE DELIVERY SERVICES,05-02-2019,250000,100000,Active,ROC-MUM,5320
CIN,Company Name,Date of Incorporation,Authorized Capital,Paidup Capital,Company Status,ROC Code,Principal Business Activity (NIC)
L67890MH2019PTC01,MUMBAI TECH SOLUTIONS PRIVATE LIMITED,15-03-2019,5000000,2500000,Active,ROC-MUM,6201
U78901MH2020PLC02,NAGPUR AGRITECH INDUSTRIES LIMITED,22-09-2020,10000000,8000000,Active,ROC-MUM,0161
L89012MH2021PTC03,PUNE LOGISTICS NETWORKS PRIVATE LIMITED,30-07-2021,2000000,1000000,Active,ROC-PUNE,4923
U90123MH2022PTC04,THANE REAL ESTATE HOLDINGS,10-12-2022,7500000,3500000,Active,ROC-MUM,6810
L01234MH2023PLC05,NASHIK FOOD PROCESSORS LIMITED,18-04-2023,6000000,3000000,Active,ROC-PUNE,1079
