CIN,Company Name,Date of Incorporation,Authorized Capital,Paidup Capital,Company Status,ROC Code,Principal Business Activity (NIC)
L12345GJ2018PTC01,SURAT TEXTILE INNOVATIONS PVT LTD,12-06-2018,3000000,,Active,ROC-AHMEDABAD,1313
U23456GJ2019PLC02,VADODARA CHEMICALS LTD,19-10-2019,8000000,4000000,Active,ROC-AHMEDABAD,2011
L34567GJ2020PTC03,AHMEDABAD SOLAR SYSTEMS PRIVATE LIMITED,25-01-2020,5000000,2500000,Active,ROC-AHMEDABAD,3510
U45678GJ2021PTC04,KUTCH CERAMIC WORKS,08-08-2021,2000000,1000000,Active,ROC-AHMEDABAD,2393
L56789GJ2023PLC05,RAJKOT AUTO PARTS LIMITED,04-12-2023,9000000,,,ROC-AHMEDABAD,2930
CIN,Company Name,Date of Incorporation,Authorized Capital,Paidup Capital,Company Status,ROC Code,Principal Business Activity (NIC)
L12345GJ2018PTC01,SURAT TEXTILE INNOVATIONS PVT LTD,12-06-2018,3000000,1500000,Active,ROC-AHMEDABAD,1313
U23456GJ2019PLC02,VADODARA CHEMICALS LTD,19-10-2019,8000000,4000000,Active,ROC-AHMEDABAD,2011
L34567GJ2020PTC03,AHMEDABAD SOLAR SYSTEMS PRIVATE LIMITED,25-01-2020,5000000,2500000,Active,ROC-AHMEDABAD,3510
U45678GJ2021PTC04,KUTCH CERAMIC WORKS,08-08-2021,2000000,1000000,Active,ROC-AHMEDABAD,2393
L67891GJ2024PLC06,BHARUCH INDUSTRIAL MACHINERY LTD,10-03-2024,9500000,5000000,Active,ROC-AHMEDABAD,2829
