CIN,Company Name,Date of Incorporation,Authorized Capital,Paidup Capital,Company Status,ROC Code,Principal Business Activity (NIC)
L11223DL2017PTC06,URBAN TECH LABS PRIVATE LIMITED,11-05-2017,2000000,1000000,Active,ROC-DELHI,6201
U22334DL2018PLC07,DELHI INFRASTRUCTURE DEVELOPERS LTD,02-10-2018,10000000,7000000,Active,ROC-DELHI,6810
L33445DL2019PTC08,NORTHCITY CONSULTING SERVICES,20-03-2019,1500000,800000,Active,ROC-DELHI,7020
U44556DL2021PTC09,GREENHOME ELECTRICALS PRIVATE LIMITED,07-07-2021,2500000,1000000,Active,ROC-DELHI,2740
L55667DL2022PLC10,METRO HEALTHCARE SOLUTIONS LTD,13-11-2022,5000000,3000000,Active,ROC-DELHI,8690
CIN,Company Name,Date of Incorporation,Authorized Capital,Paidup Capital,Company Status,ROC Code,Principal Business Activity (NIC)
U13579DL2019PTC01,DELHI URBAN INFRA SOLUTIONS PRIVATE LIMITED,05-11-2019,8000000,4000000,Active,ROC-DEL,6820
L24680DL2020PLC02,NEW DELHI GREEN ENERGY LTD,15-02-2020,12000000,9000000,Active,ROC-DEL,3510
U35791DL2021PTC03,CAPITAL FINTECH SERVICES,30-07-2021,5000000,2500000,Active,ROC-DEL,6419
L46802DL2022PLC04,METRO HOSPITALITY GROUP LTD,21-12-2022,7000000,5000000,Strike Off,ROC-DEL,5510
U68024DL2024PTC06,NCR DIGITAL INFRASTRUCTURE PRIVATE LIMITED,07-04-2024,6000000,3000000,Active,ROC-DEL,6202
