CIN,Company Name,Date of Incorporation,Authorized Capital,Paidup Capital,Company Status,ROC Code,Principal Business Activity (NIC)
L66778TN2018PTC11,CHENNAI SOFTWARE LABS PRIVATE LIMITED,21-02-2018,2000000,1200000,Active,ROC-CHENNAI,6209
U77889TN2019PLC12,COIMBATORE TEXTILE MILLS LTD,18-09-2019,7000000,4500000,Active,ROC-COIMBATORE,1311
L88990TN2020PTC13,MADURAI FOOD PROCESSORS PRIVATE LIMITED,05-04-2020,3000000,1500000,Active,ROC-MADURAI,1079
U99001TN2021PTC14,TIRUPPUR GARMENT EXPORTS,09-08-2021,4000000,2000000,Active,ROC-COIMBATORE,1410
L10112TN2023PLC15,KANCHI AUTO ELECTRONICS LTD,23-01-2023,9000000,6000000,Active,ROC-CHENNAI,2930
CIN,Company Name,Date of Incorporation,Authorized Capital,Paidup Capital,Company Status,ROC Code,Principal Business Activity (NIC)
L11223TN2018PTC01,CHENNAI ELECTRONICS PRIVATE LIMITED,17-05-2018,6000000,3000000,Active,ROC-CHENNAI,2610
U22334TN2019PLC02,COIMBATORE TEXTILE EXPORTS LIMITED,03-09-2019,7000000,4500000,Active,ROC-COIMBATORE,1311
L33445TN2020PTC03,MADURAI FOOD PRODUCTS PRIVATE LIMITED,20-11-2020,3000000,1500000,Active,ROC-MADURAI,1079
U44556TN2021PTC04,TIRUPPUR GARMENTS HUB,11-06-2021,5000000,2500000,Active,ROC-COIMBATORE,1410
L66778TN2024PLC06,HOSUR AUTO SYSTEMS LIMITED,02-02-2024,8000000,5000000,Active,ROC-CHENNAI,2930
